Pavarde                  Vardas                   Galutinis (Vid.)Galutinis (Med.)
Vardas192                Pavarde192               5.00           4.60           
Vardas911                Pavarde911               5.00           5.00           
Vardas1684               Pavarde1684              5.00           5.00           
Vardas2024               Pavarde2024              5.00           4.60           
Vardas2085               Pavarde2085              5.00           5.40           
Vardas2904               Pavarde2904              5.00           5.40           
Vardas3159               Pavarde3159              5.00           5.00           
Vardas3177               Pavarde3177              5.00           5.00           
Vardas4491               Pavarde4491              5.00           5.00           
Vardas4760               Pavarde4760              5.00           5.40           
Vardas4867               Pavarde4867              5.00           5.00           
Vardas5459               Pavarde5459              5.00           5.00           
Vardas6145               Pavarde6145              5.00           5.40           
Vardas6273               Pavarde6273              5.00           5.00           
Vardas7057               Pavarde7057              5.00           5.00           
Vardas7219               Pavarde7219              5.00           4.60           
Vardas7466               Pavarde7466              5.00           5.00           
Vardas7612               Pavarde7612              5.00           5.00           
Vardas8499               Pavarde8499              5.00           4.60           
Vardas8966               Pavarde8966              5.00           5.00           
Vardas9190               Pavarde9190              5.00           4.60           
Vardas9266               Pavarde9266              5.00           5.00           
Vardas9411               Pavarde9411              5.00           4.60           
Vardas941                Pavarde941               5.01           4.80           
Vardas72                 Pavarde72                5.01           5.20           
Vardas156                Pavarde156               5.01           5.60           
Vardas2015               Pavarde2015              5.01           5.60           
Vardas2313               Pavarde2313              5.01           5.20           
Vardas3608               Pavarde3608              5.01           4.80           
Vardas3829               Pavarde3829              5.01           5.20           
Vardas5405               Pavarde5405              5.01           5.20           
Vardas6116               Pavarde6116              5.01           5.60           
Vardas6262               Pavarde6262              5.01           5.60           
Vardas6352               Pavarde6352              5.01           5.20           
Vardas7998               Pavarde7998              5.01           5.20           
Vardas8951               Pavarde8951              5.01           5.20           
Vardas56                 Pavarde56                5.03           5.40           
Vardas358                Pavarde358               5.03           4.60           
Vardas1372               Pavarde1372              5.03           4.60           
Vardas1415               Pavarde1415              5.03           5.00           
Vardas1654               Pavarde1654              5.03           5.00           
Vardas2492               Pavarde2492              5.03           5.00           
Vardas2780               Pavarde2780              5.03           5.00           
Vardas3644               Pavarde3644              5.03           5.00           
Vardas3713               Pavarde3713              5.03           5.00           
Vardas3904               Pavarde3904              5.03           5.00           
Vardas4180               Pavarde4180              5.03           5.00           
Vardas5285               Pavarde5285              5.03           5.00           
Vardas5779               Pavarde5779              5.03           5.00           
Vardas5798               Pavarde5798              5.03           5.00           
Vardas6199               Pavarde6199              5.03           5.00           
Vardas6591               Pavarde6591              5.03           4.60           
Vardas6717               Pavarde6717              5.03           5.00           
Vardas7431               Pavarde7431              5.03           4.60           
Vardas8589               Pavarde8589              5.03           4.60           
Vardas8691               Pavarde8691              5.03           5.40           
Vardas8717               Pavarde8717              5.03           5.00           
Vardas8763               Pavarde8763              5.03           5.40           
Vardas9119               Pavarde9119              5.03           5.00           
Vardas9294               Pavarde9294              5.03           5.00           
Vardas9394               Pavarde9394              5.03           5.00           
Vardas9440               Pavarde9440              5.03           5.40           
Vardas9609               Pavarde9609              5.03           5.00           
Vardas9746               Pavarde9746              5.03           5.40           
Vardas9883               Pavarde9883              5.03           5.00           
Vardas79                 Pavarde79                5.04           4.40           
Vardas162                Pavarde162               5.04           4.80           
Vardas1881               Pavarde1881              5.04           5.60           
Vardas2527               Pavarde2527              5.04           5.20           
Vardas2619               Pavarde2619              5.04           5.20           
Vardas4218               Pavarde4218              5.04           5.20           
Vardas5316               Pavarde5316              5.04           5.20           
Vardas5908               Pavarde5908              5.04           5.60           
Vardas7448               Pavarde7448              5.04           5.20           
Vardas7840               Pavarde7840              5.04           5.20           
Vardas50                 Pavarde50                5.05           4.60           
Vardas174                Pavarde174               5.05           5.00           
Vardas346                Pavarde346               5.05           5.00           
Vardas439                Pavarde439               5.05           5.40           
Vardas581                Pavarde581               5.05           4.60           
Vardas827                Pavarde827               5.05           5.40           
Vardas1408               Pavarde1408              5.05           4.60           
Vardas1612               Pavarde1612              5.05           5.00           
Vardas1969               Pavarde1969              5.05           5.00           
Vardas2064               Pavarde2064              5.05           5.40           
Vardas2179               Pavarde2179              5.05           5.00           
Vardas2182               Pavarde2182              5.05           5.00           
Vardas2946               Pavarde2946              5.05           5.00           
Vardas3239               Pavarde3239              5.05           5.00           
Vardas3943               Pavarde3943              5.05           5.00           
Vardas4286               Pavarde4286              5.05           5.40           
Vardas4558               Pavarde4558              5.05           5.40           
Vardas4753               Pavarde4753              5.05           4.60           
Vardas4931               Pavarde4931              5.05           5.40           
Vardas5054               Pavarde5054              5.05           5.00           
Vardas5190               Pavarde5190              5.05           4.60           
Vardas5270               Pavarde5270              5.05           5.00           
Vardas6384               Pavarde6384              5.05           5.00           
Vardas7719               Pavarde7719              5.05           5.00           
Vardas7774               Pavarde7774              5.05           5.40           
Vardas7829               Pavarde7829              5.05           5.00           
Vardas8106               Pavarde8106              5.05           5.00           
Vardas8553               Pavarde8553              5.05           5.00           
Vardas8848               Pavarde8848              5.05           5.00           
Vardas8887               Pavarde8887              5.05           5.00           
Vardas9161               Pavarde9161              5.05           5.00           
Vardas9426               Pavarde9426              5.05           5.00           
Vardas9428               Pavarde9428              5.05           5.00           
Vardas9659               Pavarde9659              5.05           5.40           
Vardas9742               Pavarde9742              5.05           5.40           
Vardas9779               Pavarde9779              5.05           5.40           
Vardas397                Pavarde397               5.07           5.60           
Vardas597                Pavarde597               5.07           5.20           
Vardas682                Pavarde682               5.07           4.40           
Vardas2134               Pavarde2134              5.07           5.20           
Vardas2220               Pavarde2220              5.07           5.20           
Vardas2518               Pavarde2518              5.07           4.80           
Vardas3316               Pavarde3316              5.07           5.20           
Vardas5541               Pavarde5541              5.07           5.20           
Vardas5615               Pavarde5615              5.07           4.80           
Vardas6971               Pavarde6971              5.07           5.20           
Vardas7455               Pavarde7455              5.07           5.60           
Vardas8428               Pavarde8428              5.07           5.20           
Vardas8756               Pavarde8756              5.07           4.80           
Vardas8910               Pavarde8910              5.07           5.20           
Vardas9306               Pavarde9306              5.07           4.40           
Vardas9329               Pavarde9329              5.07           4.80           
Vardas9975               Pavarde9975              5.07           5.20           
Vardas210                Pavarde210               5.08           5.40           
Vardas219                Pavarde219               5.08           5.00           
Vardas486                Pavarde486               5.08           5.00           
Vardas610                Pavarde610               5.08           4.60           
Vardas640                Pavarde640               5.08           5.00           
Vardas779                Pavarde779               5.08           5.40           
Vardas961                Pavarde961               5.08           5.00           
Vardas974                Pavarde974               5.08           4.60           
Vardas1342               Pavarde1342              5.08           5.00           
Vardas2259               Pavarde2259              5.08           5.80           
Vardas2600               Pavarde2600              5.08           5.40           
Vardas2607               Pavarde2607              5.08           5.40           
Vardas2677               Pavarde2677              5.08           5.00           
Vardas2828               Pavarde2828              5.08           5.00           
Vardas3459               Pavarde3459              5.08           5.00           
Vardas3639               Pavarde3639              5.08           5.40           
Vardas3650               Pavarde3650              5.08           5.40           
Vardas3869               Pavarde3869              5.08           5.00           
Vardas4650               Pavarde4650              5.08           5.00           
Vardas4734               Pavarde4734              5.08           5.00           
Vardas4856               Pavarde4856              5.08           4.60           
Vardas4905               Pavarde4905              5.08           5.00           
Vardas5042               Pavarde5042              5.08           5.00           
Vardas5095               Pavarde5095              5.08           5.00           
Vardas6197               Pavarde6197              5.08           5.00           
Vardas6505               Pavarde6505              5.08           5.00           
Vardas6584               Pavarde6584              5.08           5.00           
Vardas7394               Pavarde7394              5.08           5.00           
Vardas7611               Pavarde7611              5.08           5.00           
Vardas7694               Pavarde7694              5.08           5.40           
Vardas8178               Pavarde8178              5.08           4.60           
Vardas8216               Pavarde8216              5.08           5.40           
Vardas8607               Pavarde8607              5.08           5.00           
Vardas8780               Pavarde8780              5.08           5.00           
Vardas8789               Pavarde8789              5.08           5.00           
Vardas8790               Pavarde8790              5.08           5.00           
Vardas9236               Pavarde9236              5.08           5.00           
Vardas9249               Pavarde9249              5.08           4.60           
